"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","beta.gouv.fr/109.232.236.90","443","INFO","-----BEGIN CERTIFICATE-----\nMIIE5jCCA86gAwIBAgISBFC+vzoV7OpwcwPySNjCGyo/MA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yNDA1MTgwNzMwMTJaFw0yNDA4MTYwNzMwMTFaMBcxFTATBgNVBAMTDGJldGEuZ291di5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBALeutURxK6tnTTrWqyE7FftMJ4Bs9xFlZy+DzpzFdR06ItNgSxgtKFPM3beSBqu7WSY9AEJv2ZDjn92EaAjsKfGOVM5ri6MxrxIgjmy9p0dPtU7v1brljBQT692zLTiq2DWhNp9Ozj0fcSoqlT9TClv12zWyiNA1NBU8cQ0VbkxRwib2iNNWZb7MI1C8wygwWAC99RqmLyJV292OpbBhhIW4/fUxNSSgD6IWR1S9InF97OQzb1dIQOM7ahg+7A7uzfLkNKIh1mcNsvA2Miso1x305IJ0S8ebn9dr/GjMC/hGFjw3i3Oh/oRNqLgVmw5hCTQaDcWPiYj7jtmq0DhfrZECAwEAAaOCAg8wggILMA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQUhmlesDr6ljFyPNQ9iQ3rnSaXu+8wHwYDVR0jBBgwFoAUFC6zF7dYVsuuUAlA5h+vnYsUwsYwVQYIKwYBBQUHAQEESTBHMCEGCCsGAQUFBzABhhVodHRwOi8vcjMuby5sZW5jci5vcmcwIgYIKwYBBQUHMAKGFmh0dHA6Ly9yMy5pLmxlbmNyLm9yZy8wFwYDVR0RBBAwDoIMYmV0YS5nb3V2LmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMIIBBQYKKwYBBAHWeQIEAgSB9gSB8wDxAHcASLDja9qmRzQP5WoC+p0w6xxSActW3SyB2bu/qznYhHMAAAGPitKpngAABAMASDBGAiEAxyuq7A7X02d/tFfuLoMUjTqu7/NgfuQ3Hr/pXsmJoBACIQDN/epLtbKroDphV8rfnUyKGLV1A9PsnXd03in3gyBybQB2ABmYEHEJ8NZSLjCA0p4/ZLuDbijM+Q9Sju7fzko/FrTKAAABj4rSqacAAAQDAEcwRQIhAJu8maZfyMBtsDnTtpetZHiER6QGGxq1B5ovfGof0KiaAiBg7uChqehqA3fUgd2jp2PH/5XU5ZzubEID2sB4uxixDjANBgkqhkiG9w0BAQsFAAOCAQEAZLGQBM6H2+pn7iLpUbQJYAeAmzmEl2wmzjI7DL/nbsAPcKIRSGraGMlklP8iJ3PC3ZyvKb0rumaUPbELc9+7EieJaMExzJdbVjHG1kz2gteupuLlzGAhIRnCN4IjSixkbgFAJ1crxwvETo/Z/UGQAMLT3RzUmZGQzs8NppsO0wdrGQYAVtVYeI9lu+oo20sMmZ6+z4wEwBjwbFPbgSTTNJQ6ouFK4mqeGFkFnDgfERQdV+DLAhbMc6T8OZKnsHD96pdfrZM7WWy5WzS8rdKfXg111zYFRGXYAogspCjKqOgkFUPDZIKG5sBXlsvf742OdCbfOu2bklMWFtvCuNkluA==\n-----END CERTIFICATE-----","",""
"cert_commonName","beta.gouv.fr/109.232.236.90","443","OK","beta.gouv.fr","",""
"cert_commonName_wo_SNI","beta.gouv.fr/109.232.236.90","443","INFO","*.osc-fr1.scalingo.io","",""
"cert_subjectAltName","beta.gouv.fr/109.232.236.90","443","INFO","beta.gouv.fr","",""
"cert_trust","beta.gouv.fr/109.232.236.90","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","beta.gouv.fr/109.232.236.90","443","OK","passed.","",""
"cert_certificatePolicies_EV","beta.gouv.fr/109.232.236.90","443","INFO","no","",""
"cert_expirationStatus","beta.gouv.fr/109.232.236.90","443","OK","33 >= 30 days","",""
"cert_notBefore","beta.gouv.fr/109.232.236.90","443","INFO","2024-05-18 07:30","",""
"cert_notAfter","beta.gouv.fr/109.232.236.90","443","OK","2024-08-16 07:30","",""
"cert_extlifeSpan","beta.gouv.fr/109.232.236.90","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","beta.gouv.fr/109.232.236.90","443","INFO","not present","",""
"cert_crlDistributionPoints","beta.gouv.fr/109.232.236.90","443","INFO","--","",""
